id,poller_id,site_id,host_template_id,description,hostname,location,notes,external_id,snmp_community,snmp_version,snmp_username,snmp_password,snmp_auth_protocol,snmp_priv_passphrase,snmp_priv_protocol,snmp_context,snmp_engine_id,snmp_port,snmp_timeout,snmp_sysDescr,snmp_sysObjectID,snmp_sysUpTimeInstance,snmp_sysContact,snmp_sysName,snmp_sysLocation,availability_method,ping_method,ping_port,ping_timeout,ping_retries,max_oids,bulk_walk_size,device_threads,deleted,disabled,monitor,monitor_text,monitor_criticality,monitor_warn,monitor_alert,monitor_icon,thold_send_email,thold_host_email,thold_failure_count,status,status_event_count,status_fail_date,status_rec_date,status_last_error,min_time,max_time,cur_time,avg_time,polling_time,total_polls,failed_polls,availability,last_updated,graphs,data_sources,instate
78,1,1,0,"Azure - DEVDB - 10.0.0.10",10.0.0.10,,,,public,0,,,,,,,,161,1000,,,0,,,,3,1,23,400,3,10,0,1,,,on,,0,0,0,server,1,0,0,3,0,"2026-07-01 07:12:04","2026-07-01 02:40:04","ICMP: Ping timed out",0.04888,395.72906,30.05981,23.26614,2.36,324849,144109,55.63820,"2026-07-01 07:42:06",1,1,18177
76,1,1,0,"AZURE - KIATVNET",137.116.138.130,,,,public,0,,,,,,,,161,1000,,,0,,,,3,1,23,400,3,10,0,1,,,on,,0,0,0,server,1,0,0,3,0,"2026-07-01 07:28:04","2026-06-30 14:10:03","ICMP: Ping timed out",0.03409,164.07299,21.96097,15.80906,1.614,326228,4071,98.75210,"2026-07-01 07:42:05",1,1,63178
41,1,4,24,Bacbone-1-Balikpapan-(R-ADMIN),192.192.1.2,BALIKPAPAN,,,public,0,,,,,,,,161,1000,,,0,,,,3,1,23,1000,3,10,15,1,,,on,,0,0,0,server,1,0,0,3,0,"2026-07-01 06:08:08","2026-06-30 16:24:04","ICMP: Ping timed out",0.04601,993.26801,44.83199,38.38044,17.429,385749,15871,95.88570,"2026-07-01 07:42:22",21,26,55137
54,1,1,24,Bacbone-1-LT2-Semarang,192.197.53.220,SEMARANG,,,public,0,,,,,,,,161,1000,,,0,,,,3,1,23,400,3,10,15,1,,,on,,0,0,0,server,1,0,0,3,0,"2026-07-01 03:45:03","2026-06-30 16:24:03","ICMP: Ping timed out",0.00000,374.87388,26.18384,19.57598,0.095,381973,15947,95.82510,"2026-07-01 07:42:03",11,18,55138
42,1,4,24,"Bacbone-2-Balikpapan-(LANTAI 2) ",192.192.1.3,BALIKPAPAN,,,public,0,,,,,,,,161,1000,,,0,,,,3,1,23,1000,3,10,15,1,,,on,,0,0,0,server,1,0,0,3,0,"2026-07-01 05:24:14","2026-06-30 16:23:20","ICMP: Ping timed out",0.03099,949.90683,48.85507,38.95937,17.206,385714,16991,95.59490,"2026-07-01 07:42:22",11,18,55181
43,1,4,24,"Bacbone-3-Balikpapan-(LANTAI 3)",192.192.1.4,BALIKPAPAN,,,public,0,,,,,,,,161,1000,,,0,,,,3,1,23,1000,3,10,15,1,,,on,,0,0,0,server,1,0,0,3,0,"2026-07-01 05:24:18","2026-06-30 16:23:20","ICMP: Ping timed out",0.03195,992.58089,44.57808,40.36071,11.675,385693,17207,95.53870,"2026-07-01 07:42:22",11,18,55181
53,1,8,0,Bacbone-3-Semarang-(R-ADMIN),192.197.53.222,SEMARANG,,,public,0,,,,,,,,161,1000,,,0,,,,3,1,23,400,3,10,15,1,,,on,,0,0,0,server,1,0,0,3,0,"2026-07-01 06:25:04","2026-06-30 16:24:03","ICMP: Ping timed out",0.03409,398.60392,26.16405,19.42541,0.365,382227,16996,95.55340,"2026-07-01 07:42:03",11,18,55138
44,1,4,24,Bacbone-4-Balikpapan-Battery,192.192.1.5,BALIKPAPAN,,,public,0,,,,,,,,161,1000,,,0,,,,3,1,23,1000,3,10,15,1,,,on,,0,0,0,server,1,0,0,3,0,"2026-07-01 06:32:26","2026-06-30 16:23:20","ICMP: Ping timed out",0.03314,990.50093,44.59906,39.16156,0.066,385697,17297,95.51540,"2026-07-01 07:42:22",11,18,55181
28,1,0,21,"Bekasi - Router Public ISP Quantum - Segment - 1",103.245.16.233,,"Router QUANTUM BEKASI SEGMENT 1",,public,2,,,,,,,,161,1000,"RouterOS CCR1036-12G-4S",iso.3.6.1.4.1.14988.1,868304900,,"Router Distribusi GPS 103.24.106.170",,4,1,23,400,3,10,15,2,,on,on,,0,0,0,cloud,1,0,0,0,0,"0000-00-00 00:00:00","0000-00-00 00:00:00",,0.00000,390.02609,0.54002,1.42410,0.284,257201,0,100.00000,"2026-03-30 03:04:09",52,52,15432060
25,1,1,21,"Bekasi - Router Public ISP Quantum - Segment - 2",103.75.52.177,,"Router ISP Quantum BEKASI SEGMENT 2",,public,2,,,,,,,,161,1000,"RouterOS CCR1036-12G-4S",iso.3.6.1.4.1.14988.1,868304900,,"Router Distribusi GPS 103.24.106.170",,2,1,23,400,3,10,10,2,,on,on,,0,0,0,server,1,0,0,0,0,"2026-03-08 04:10:06","2026-03-08 04:30:02","Device did not respond to SNMP",0.82111,3023.59104,5.39303,14.98969,0.254,257211,239,99.90710,"2026-03-30 03:04:09",83,62,9947579
49,1,4,0,CS_1-AREA-DISTRIBUSI-6_BPP,192.192.1.13,BALIKPAPAN,,,public,0,,,,,,,,161,1000,,,0,,,,3,1,23,1000,3,10,0,1,,,on,,0,0,0,server,1,0,0,3,0,"2026-07-01 05:24:10","2026-07-01 03:08:06","ICMP: Ping timed out",0.04196,920.23110,40.16089,58.85891,0.108,383690,14714,96.16510,"2026-07-01 07:42:07",,,16495
50,1,4,0,CS1_AREA-DISTRIBUSI_5-BPP,192.192.1.18,BALIKPAPAN,,,public,0,,,,,,,,161,1000,,,0,,,,3,1,23,1000,3,10,0,1,,,on,,0,0,0,server,1,0,0,3,0,"2026-07-01 05:24:15","2026-07-01 03:06:06","ICMP: Ping timed out",0.03600,846.86899,46.47708,62.90076,0.078,383691,17698,95.38740,"2026-07-01 07:42:07",,,16615
58,1,1,0,"Distribusi_1 Sw Palu",192.197.67.4,PALU,,,public,0,,,,,,,,161,1000,,,0,,,,3,1,23,400,3,10,0,1,,,on,,0,0,0,server,1,0,0,3,0,"2026-07-01 04:09:07","2026-06-30 23:38:05","ICMP: Ping timed out",0.02098,399.94812,39.27112,51.30010,0.097,381376,49655,86.98000,"2026-07-01 07:42:07",,,29096
59,1,1,0,"Distribusi_2 SW Palu",192.197.67.4,PALU,,,public,0,,,,,,,,161,1000,,,0,,,,3,1,23,400,3,10,0,1,,,on,,0,0,0,server,1,0,0,3,0,"2026-07-01 06:40:06","2026-06-30 23:38:06","ICMP: Ping timed out",0.02289,399.66798,39.44802,49.56629,0.048,381382,50874,86.66060,"2026-07-01 07:42:07",,,29095
52,1,4,0,DISTRIBUSI-8_OFFBLK-BPP,192.192.1.50,BALIKPAPAN,,,public,0,,,,,,,,161,1000,,,0,,,,3,1,23,1000,3,10,0,1,,,on,,0,0,0,server,1,0,0,3,0,"2026-07-01 05:24:07","2026-06-30 16:23:15","ICMP: Ping timed out",0.03481,810.60386,45.40300,55.41350,0.924,383707,14789,96.14580,"2026-07-01 07:42:06",,,55186
48,1,4,0,DISTRIBUSI4_UNLOADING_BPP,192.192.1.12,BALIKPAPAN,,,public,0,,,,,,,,161,1000,,,0,,,,3,1,23,1000,3,10,0,1,,,on,,0,0,0,server,1,0,0,3,0,"2026-07-01 06:32:09","2026-06-30 16:24:08","ICMP: Ping timed out",0.03099,871.49000,46.19884,62.02872,0.078,383666,16297,95.75230,"2026-07-01 07:42:07",,,55133
47,1,4,0,DRY-LT1-DISTRIBUSI_3-BPP,192.192.1.10,,,,public,0,,,,,,,,161,1000,,,0,,,,3,1,23,1000,3,10,0,1,,,on,,0,0,0,server,1,0,0,3,0,"2026-07-01 06:33:07","2026-06-30 16:24:08","ICMP: Ping timed out",0.03004,723.60396,45.86697,54.47029,0.104,383654,13110,96.58290,"2026-07-01 07:42:07",,,55133
46,1,4,0,DRY-LT1-DISTRIBUSI2_BPP,192.192.1.11,BALIKPAPAN,,,public,0,,,,,,,,161,1000,,,0,,,,3,1,23,1000,2,10,0,1,,,on,,0,0,0,server,1,0,0,3,0,"2026-07-01 05:24:07","2026-06-30 16:24:08","ICMP: Ping timed out",0.03600,588.34386,212.51702,58.59949,0.264,378331,13166,96.52000,"2026-07-01 07:42:07",,,55133
26,1,1,17,"GW - Makassar - ASTINET",36.95.240.122,MAKASSAR,,,public,2,,,,,,,,161,1000,,,0,,,,3,1,23,400,3,10,5,1,,on,on,,0,0,0,server,1,0,0,0,1041,"2026-03-19 13:23:04","2026-03-19 07:28:02","ICMP: Ping timed out",0.00000,399.30105,25.00296,40.21320,1.625,244372,9231,96.22260,"2026-03-20 06:43:46",29,29,8986499
79,1,1,24,"GW - P5 - Quantum",103.245.16.235,P5,,,public,2,,,,,,,,161,1000,,,0,,,,3,1,23,400,3,10,5,1,,,on,,0,0,0,server,1,0,0,3,0,"2026-06-08 10:58:03","2026-03-08 04:30:02","ICMP: Ping timed out",0.02599,155.20597,0.47088,0.79540,0.214,264583,117,99.95580,"2026-07-01 07:42:02",19,26,9947579
80,1,1,0,"GW - P5 - Remala",101.255.56.182,P5,,,public,2,,,,,,,,161,1000,,,0,,,,3,1,23,400,3,10,5,1,,,on,,0,0,0,server,1,0,0,3,0,"2026-06-30 15:34:06","2026-07-01 06:25:06","ICMP: Ping timed out",0.03600,316.11395,4.94909,12.00289,0.06,264564,7202,97.27780,"2026-07-01 07:42:07",,,4675
27,1,1,21,"GW - P6 - REMALA_Link Backup",115.124.65.131,P6,,,public,2,,,,,,,,161,1000,,,0,,,,3,1,23,400,3,10,5,1,,,on,,0,0,0,server,1,0,0,3,0,"2026-07-01 06:42:06","2026-07-01 03:08:03","ICMP: Ping timed out",0.00000,339.02502,13.33809,3.86087,20.123,388352,4099,98.94450,"2026-07-01 07:42:27",29,29,16498
